variable,model,HR,HR_lo,HR_hi,p,coef,se,variable_label
STIM1,"Model 1
(no AFP, n=344)",0.9414531203238248,0.6841325539823377,1.295558839596381,0.7111139236379562,-0.060330724664370255,0.16289731118381623,STIM1 expression
TRPC6,"Model 1
(no AFP, n=344)",0.9242916592367255,0.7929017584873724,1.0774538739381352,0.3142431587160099,-0.07872760862237312,0.0782301835652001,TRPC6 expression
STAGE_NUM,"Model 1
(no AFP, n=344)",1.6780419792391192,1.3606950929782649,2.0694018069290707,1.301110898325617e-06,0.5176276251570655,0.10695704607355162,Tumor Stage
GRADE_NUM,"Model 1
(no AFP, n=344)",1.2001428380463026,0.9207931920828537,1.5642413998041707,0.17716077655530926,0.1824405814154954,0.13518635984543248,Histological Grade
AGE_NUM,"Model 1
(no AFP, n=344)",1.00909843554683,0.9944656513312385,1.0239465297367916,0.22424996581267667,0.00905729414211402,0.007452695137843314,Age
SEX_BIN,"Model 1
(no AFP, n=344)",1.1293377861233742,0.7636920863382021,1.6700498250301756,0.5422889489043998,0.12163143096224958,0.19960674453952681,Sex (Female)
STIM1,"Model 2
(with AFP, n=264)",0.9014639343847972,0.6084274616022022,1.3356353489642958,0.6050447403764804,-0.10373524336776858,0.2005865117602829,STIM1 expression
TRPC6,"Model 2
(with AFP, n=264)",0.8338306077905648,0.6846760798730581,1.0154779799190434,0.0707283361800276,-0.18172500541743733,0.10055512488797647,TRPC6 expression
STAGE_NUM,"Model 2
(with AFP, n=264)",1.457173971758891,1.1191763161777066,1.89724885460713,0.005171312801702583,0.37649892417480274,0.1346483626721766,Tumor Stage
GRADE_NUM,"Model 2
(with AFP, n=264)",1.6607016868114544,1.1696607301422788,2.35788893437752,0.004565003678536637,0.5072402159532161,0.17884332885526794,Histological Grade
AFP_LOG,"Model 2
(with AFP, n=264)",0.9700119763673052,0.9213758820853182,1.0212153938373627,0.24601750698553632,-0.030446860790511614,0.026245554372850602,AFP (log₂)
AGE_NUM,"Model 2
(with AFP, n=264)",1.02435589914204,1.0042117179970884,1.0449041664241363,0.017562388709012347,0.024064023989008705,0.010133426230248767,Age
SEX_BIN,"Model 2
(with AFP, n=264)",1.3634410175698641,0.8375183878539172,2.219618620142099,0.21245843979652707,0.31001166425993676,0.2486391219335423,Sex (Female)
