SOCE_gene,EMT_gene,n,r_crude,p_crude,r_partial,p_partial,delta_r
STIM1,CDH1,366,0.0312,0.5525,0.0705,0.1781,0.0394
STIM1,CDH2,366,0.1694,0.0011,0.1701,0.0011,0.0007
STIM1,VIM,366,-0.1718,0.001,-0.0595,0.256,0.1123
STIM1,FN1,366,0.2455,0.0,0.2726,0.0,0.0271
STIM1,SNAI1,366,-0.1381,0.0082,-0.0324,0.5366,0.1057
STIM1,SNAI2,366,0.1086,0.0379,0.1285,0.0139,0.0199
STIM1,TWIST1,366,-0.2276,0.0,-0.1599,0.0021,0.0677
STIM1,TWIST2,366,-0.0797,0.1279,0.0069,0.8958,0.0866
STIM1,ZEB1,366,0.15,0.004,0.1913,0.0002,0.0413
STIM1,ZEB2,366,0.0127,0.8083,0.2696,0.0,0.2569
STIM1,MMP2,366,-0.0565,0.281,0.1254,0.0164,0.1819
STIM1,MMP9,366,-0.2156,0.0,-0.1456,0.0052,0.07
STIM1,ACTA2,366,-0.0939,0.0729,-0.0011,0.9831,0.0927
STIM1,ITGA5,366,-0.0622,0.235,-0.0016,0.9758,0.0606
STIM2,CDH1,366,0.1991,0.0001,0.1418,0.0066,-0.0573
STIM2,CDH2,366,-0.0031,0.9522,0.0,0.9996,0.0032
STIM2,VIM,366,0.2501,0.0,-0.009,0.8645,-0.2591
STIM2,FN1,366,0.1036,0.0476,0.0687,0.1898,-0.0349
STIM2,SNAI1,366,0.1868,0.0003,-0.0348,0.507,-0.2216
STIM2,SNAI2,366,-0.0621,0.2357,-0.0995,0.0572,-0.0374
STIM2,TWIST1,366,0.2518,0.0,0.0832,0.1122,-0.1687
STIM2,TWIST2,366,0.051,0.331,-0.1299,0.0129,-0.1808
STIM2,ZEB1,366,0.2959,0.0,0.2497,0.0,-0.0462
STIM2,ZEB2,366,0.3688,0.0,0.212,0.0,-0.1568
STIM2,MMP2,366,0.2583,0.0,0.0252,0.6312,-0.2331
STIM2,MMP9,366,0.0898,0.0863,-0.1249,0.0169,-0.2146
STIM2,ACTA2,366,0.0959,0.0668,-0.0945,0.0708,-0.1905
STIM2,ITGA5,366,0.2838,0.0,0.1941,0.0002,-0.0897
ORAI1,CDH1,366,-0.3544,0.0,-0.3947,0.0,-0.0403
ORAI1,CDH2,366,-0.2318,0.0,-0.2324,0.0,-0.0006
ORAI1,VIM,366,0.1438,0.0058,0.0701,0.1808,-0.0737
ORAI1,FN1,366,-0.1539,0.0032,-0.1725,0.0009,-0.0187
ORAI1,SNAI1,366,0.0512,0.3284,-0.0487,0.3529,-0.0999
ORAI1,SNAI2,366,0.0416,0.4273,0.0289,0.5818,-0.0127
ORAI1,TWIST1,366,0.0946,0.0706,0.0216,0.6799,-0.073
ORAI1,TWIST2,366,0.2542,0.0,0.2222,0.0,-0.032
ORAI1,ZEB1,366,-0.1659,0.0014,-0.1977,0.0001,-0.0318
ORAI1,ZEB2,366,-0.0805,0.1243,-0.3278,0.0,-0.2473
ORAI1,MMP2,366,0.0959,0.067,-0.0066,0.8995,-0.1025
ORAI1,MMP9,366,0.1897,0.0003,0.1433,0.006,-0.0464
ORAI1,ACTA2,366,0.1746,0.0008,0.1265,0.0155,-0.0481
ORAI1,ITGA5,366,-0.025,0.6336,-0.0766,0.1438,-0.0516
ORAI2,CDH1,366,0.1968,0.0002,0.0462,0.3784,-0.1506
ORAI2,CDH2,366,-0.0814,0.1201,-0.115,0.0278,-0.0336
ORAI2,VIM,366,0.6982,0.0,0.176,0.0007,-0.5222
ORAI2,FN1,366,-0.0362,0.4905,-0.2093,0.0001,-0.1731
ORAI2,SNAI1,366,0.5688,0.0,0.0935,0.0741,-0.4753
ORAI2,SNAI2,366,-0.0808,0.1229,-0.2523,0.0,-0.1715
ORAI2,TWIST1,366,0.5494,0.0,0.1546,0.003,-0.3948
ORAI2,TWIST2,366,0.4023,0.0,0.0196,0.7085,-0.3827
ORAI2,ZEB1,366,0.1017,0.052,-0.0903,0.0846,-0.1919
ORAI2,ZEB2,366,0.5971,0.0,-0.0984,0.0599,-0.6956
ORAI2,MMP2,366,0.6515,0.0,0.1147,0.0282,-0.5368
ORAI2,MMP9,366,0.5597,0.0,0.1941,0.0002,-0.3656
ORAI2,ACTA2,366,0.3888,0.0,-0.0685,0.1908,-0.4573
ORAI2,ITGA5,366,0.4328,0.0,0.2597,0.0,-0.1731
TRPC1,CDH1,366,0.0964,0.0655,0.0318,0.5439,-0.0645
TRPC1,CDH2,366,0.0132,0.8014,0.0172,0.7436,0.004
TRPC1,VIM,366,0.2478,0.0,-0.0086,0.8702,-0.2564
TRPC1,FN1,366,-0.0404,0.4413,-0.0834,0.1112,-0.043
TRPC1,SNAI1,366,0.1649,0.0016,-0.0633,0.2273,-0.2281
TRPC1,SNAI2,366,-0.1291,0.0135,-0.1697,0.0011,-0.0407
TRPC1,TWIST1,366,0.3372,0.0,0.199,0.0001,-0.1382
TRPC1,TWIST2,366,0.1288,0.0137,-0.0329,0.5306,-0.1616
TRPC1,ZEB1,366,0.1318,0.0116,0.0739,0.1582,-0.0578
TRPC1,ZEB2,366,0.2323,0.0,-0.0358,0.4943,-0.2682
TRPC1,MMP2,366,0.2389,0.0,-0.004,0.9397,-0.2428
TRPC1,MMP9,366,0.3191,0.0,0.1784,0.0006,-0.1408
TRPC1,ACTA2,366,0.007,0.8932,-0.2044,0.0001,-0.2114
TRPC1,ITGA5,366,0.3588,0.0,0.2796,0.0,-0.0792
TRPC6,CDH1,366,0.1362,0.0091,0.0652,0.213,-0.0709
TRPC6,CDH2,366,0.1082,0.0385,0.1194,0.0223,0.0112
TRPC6,VIM,366,0.484,0.0,0.3683,0.0,-0.1157
TRPC6,FN1,366,0.1154,0.0273,0.0769,0.1422,-0.0385
TRPC6,SNAI1,366,0.3147,0.0,0.1103,0.0349,-0.2044
TRPC6,SNAI2,366,0.1315,0.0118,0.1023,0.0506,-0.0293
TRPC6,TWIST1,366,0.3796,0.0,0.2228,0.0,-0.1568
TRPC6,TWIST2,366,0.2219,0.0,0.054,0.3033,-0.1679
TRPC6,ZEB1,366,0.3939,0.0,0.3512,0.0,-0.0427
TRPC6,ZEB2,366,0.456,0.0,0.3151,0.0,-0.1409
TRPC6,MMP2,366,0.4019,0.0,0.2181,0.0,-0.1838
TRPC6,MMP9,366,0.0792,0.1305,-0.174,0.0008,-0.2532
TRPC6,ACTA2,366,0.5036,0.0,0.3971,0.0,-0.1066
TRPC6,ITGA5,366,0.1104,0.0348,-0.0187,0.7212,-0.1291
